id;name;label;component_name;step_definition_id;block_definition_id;display;jhi_order
1;Shore Agent;schemas program;payment;Movies Facilitator;back-end Tasty;true;497
2;Creative firmware e-commerce;Riel Agent;strategize invoice 1080p;magenta sensor;Bermuda Rubber;true;95570
3;Corporate;bypass;markets;Fresh Engineer;Corporate Developer conglomeration;true;53004
4;synthesize;Optimized;Plastic Inverse;redefine;Gorgeous Garden;false;38864
5;non-volatile backing overriding;Account;Plastic;Tasty Industrial Director;even-keeled Outdoors;true;78895
6;Home;moderator;navigate;Franc sensor well-modulated;Intuitive Account;true;43128
7;Chief Unbranded;Account;haptic e-business;firmware extranet;transmitting;true;99463
8;invoice Junction;Buckinghamshire;Refined withdrawal;Markets;withdrawal New;false;76422
9;experiences;web-enabled;Metal AGP Track;Awesome bandwidth supply-chains;USB;true;19355
10;Web e-business Loan;Extended Generic;Account;optical Throughway;Sleek;true;2830
