id;name;affaire;client;parc;status;created;modified;user_creation;user_current
1;Outdoors plum;Krona moderator GB;Games;Compatible white;Romania applications;2022-03-27;2022-03-28;Tuna;Rustic Clothing generate
2;generating;Music;Automotive;Democratic SQL infomediaries;Mobility connect complexity;2022-03-28;2022-03-27;Small;hour Internal
3;HDD interface;Ohio;Administrator;transmitting;Canada Agent;2022-03-28;2022-03-28;Factors;generating Wooden Future
4;innovative Toys Pants;Networked Mouse;target;didactic;Liaison;2022-03-27;2022-03-27;Stand-alone;implement
5;magenta;Global deposit Practical;Response;South;Soft content;2022-03-27;2022-03-28;neural B2C connecting;Keys Handcrafted Rubber
6;reboot primary Fresh;Bike Island green;best-of-breed;Assurance Lodge;bypassing B2C Human;2022-03-27;2022-03-27;task-force parsing;Nevada Representative fuchsia
7;compress Marketing;Cheese;AI cross-media;solid;Marketing Motorway;2022-03-27;2022-03-28;Shirt indexing;portals Idaho Analyst
8;El Garden;multi-byte Market;revolutionary parsing Division;communities purple;cross-media;2022-03-27;2022-03-28;intuitive;administration compressing
9;Washington 24/365 Facilitator;synthesizing;Account Forward open-source;District;Shoes radical Washington;2022-03-28;2022-03-28;Creative;open-source generating Accounts
10;Bedfordshire connect SQL;invoice Guiana ADP;bypass International Visionary;payment Internal hack;distributed navigating Krone;2022-03-28;2022-03-28;pixel array Steel;transmitting Mouse blockchains
