id;name;label;offer_id
1;Dollar Peru Innovative;infomediaries Specialist;Fantastic
2;open-source;Sausages niches synthesizing;array Tasty Ohio
3;Iraq;compressing;Arizona
4;Extensions reboot Harbors;Idaho;Bedfordshire override EXE
5;Steel Concrete Table;fresh-thinking;deposit
6;bandwidth Quality;Games Kids Burundi;Stravenue invoice
7;relationships Bhutan;Turkey;Product neural-net Avon
8;collaboration;multimedia fuchsia solution;reboot transmit
9;Rubber U.S. Credit;Pants;application
10;programming leading-edge;Fantastic pink Soft;Virginia Silver Sleek
